,Unnamed: 0,sentence,statement_id,targets,label ,confidence,comment,context,predictions
0,0,"AIWS group development with care THE BANKS GROUP OF COMPANIES MODERN SLAVERY ACT 2015 POLICY AND STATEMENT INTRODUCTION The Modern Slavery Act 2015 (""the Act"") came into effect on 29 October 2015",SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,"AIWS group development with care THE BANKS GROUP OF COMPANIES MODERN SLAVERY ACT 2015 POLICY AND STATEMENT INTRODUCTION The Modern Slavery Act 2015 (""the Act"") came into effect on 29 October 2015","[0.0009276912896893919, 0.0008445996209047735, 0.004213724751025438, 0.004270176403224468, 0.002537567401304841, 0.0019229715690016747, 0.00033929981873370707, 0.0034115901216864586, 7.736808038316667e-05, 0.0005149804055690765, 7.751962402835488e-05]"
1,1,This statement is made pursuant to Section 54 (1) of the Act and constitutes the Banks Group's slavery and human trafficking statement for the financial year ending 30 September 2022,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,This statement is made pursuant to Section 54 (1) of the Act and constitutes the Banks Group's slavery and human trafficking statement for the financial year ending 30 September 2022,"[0.005780824460089207, 0.00035464996472001076, 0.16876116394996643, 0.007910354994237423, 0.001536299125291407, 0.0009674825705587864, 0.0002972720831166953, 0.0007707913755439222, 7.044251105980948e-05, 0.0003566146770026535, 0.0008033698541112244]"
2,2,"It sets out the steps we have taken, and continue to take, to ensure that slavery and human trafficking is not taking place in our supply chain or in any part of our business",SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,"It sets out the steps we have taken, and continue to take, to ensure that slavery and human trafficking is not taking place in our supply chain or in any part of our business","[0.0019460262265056372, 0.00014145665045361966, 0.0363648384809494, 0.004017079249024391, 0.0008750982233323157, 0.0007272474467754364, 0.0005443128757178783, 0.027908187359571457, 0.00020477657380979508, 0.00038699866854585707, 0.00012021404836559668]"
3,3,"THE BANKS GROUP STRUCTURE AND ITS BUSINESS The Banks Group is a family owned County Durham based business, with offices in Scotland and Northumberland, and employs around 230 people",SID_401,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",c2s c2op,5.0,,"THE BANKS GROUP STRUCTURE AND ITS BUSINESS The Banks Group is a family owned County Durham based business, with offices in Scotland and Northumberland, and employs around 230 people","[0.00032375671435147524, 0.00023573606449645013, 0.005239798687398434, 0.9931095838546753, 0.7383589148521423, 0.0008197242859750986, 9.849383059190586e-05, 0.00028961969655938447, 8.984196756500751e-05, 0.0001723927998682484, 0.00016136336489580572]"
4,4,"The organisation operates across the North of England and Scotland, and is involved in",SID_401,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,"The organisation operates across the North of England and Scotland, and is involved in","[3.916955756722018e-05, 2.825764568115119e-05, 0.00012768038141075522, 0.030993197113275528, 0.897858738899231, 0.023220349103212357, 0.021487493067979813, 0.012697170488536358, 0.0013951846631243825, 0.0014354420127347112, 0.00026932760374620557]"
5,5,Mineral Extraction,SID_401,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,Mineral Extraction,"[2.7900465283892117e-05, 1.4195262338034809e-05, 0.00022031943080946803, 0.0023912759497761726, 0.04293118417263031, 0.01774938777089119, 0.2342677265405655, 0.01601162552833557, 6.7419525294099e-05, 0.00023577248794026673, 6.240952643565834e-05]"
6,6,Infrastructure Services,SID_401,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,Infrastructure Services,"[7.315404218388721e-05, 0.00032637108233757317, 0.0012190946144983172, 0.007080862298607826, 0.1594306081533432, 0.4344422519207001, 0.13923996686935425, 0.011716766282916069, 0.0001992140751099214, 0.001535930554382503, 0.0005887493025511503]"
7,7,Property development,SID_401,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,Property development,"[7.530677976319566e-05, 3.801338607445359e-05, 0.0007208517636172473, 0.011731286533176899, 0.5153999328613281, 0.09248236566781998, 0.0175168439745903, 0.0014525301521643996, 0.0001811727852327749, 0.0007460961351171136, 0.00013708052574656904]"
8,8,Generation of renewable energy,SID_401,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,Generation of renewable energy,"[2.1315983758540824e-05, 6.33020099485293e-05, 5.590881301031914e-06, 0.003504185937345028, 0.9563553929328918, 0.006951102055609226, 0.0016688077012076974, 0.0012129967799410224, 6.272934115258977e-05, 0.0011531338095664978, 1.6042613424360752e-05]"
9,9,Plant Maintenance Services,SID_401,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,Plant Maintenance Services,"[9.778046660358086e-05, 0.00013397610746324062, 0.0016208636807277799, 0.006565340794622898, 0.05546974018216133, 0.5227713584899902, 0.2269953042268753, 0.015245670452713966, 0.00024067063350230455, 0.0007364836055785418, 0.0004002515343017876]"
10,10,"Road Haulage This statement applies to each of our group holding companies and all of their subsidiary companies, regardless of their turnover",SID_401,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,broken sentence,"Road Haulage This statement applies to each of our group holding companies and all of their subsidiary companies, regardless of their turnover","[6.310186290647835e-05, 5.1979917770950124e-05, 0.34459713101387024, 0.024613602086901665, 0.024932995438575745, 0.005858241580426693, 0.011298456229269505, 0.0027973984833806753, 5.1814567996189e-05, 0.00032903533428907394, 0.0015573276905342937]"
11,11,"OUR POLICIES The following policies underpin our zero tolerance approach to slavery and human trafficking, both from our own aim to comply with the Act and also our expectation that our suppliers and their supply chains will take all reasonable and practicable steps to comply with the Act:-",SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,read as if the zero tolerance is policy - beginning of list ,"OUR POLICIES The following policies underpin our zero tolerance approach to slavery and human trafficking, both from our own aim to comply with the Act and also our expectation that our suppliers and their supply chains will take all reasonable and practicable steps to comply with the Act:-","[6.662153464276344e-05, 5.703885108232498e-05, 5.957674511591904e-05, 0.00042729973210953176, 0.0012903743190690875, 0.0016169886803254485, 0.0011596041731536388, 0.7353336215019226, 0.0015811544144526124, 0.0022503638174384832, 3.936945722671226e-05]"
12,12,this policy and statement,SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,linked to ms above,this policy and statement,"[0.00011975651432294399, 0.0002493813226465136, 0.00016574549954384565, 0.0007143428083509207, 0.005599833559244871, 0.0024787841830402613, 0.0037991127464920282, 0.21612679958343506, 0.0014152646763250232, 0.017781872302293777, 0.00229833391495049]"
13,13,our Development with Care Policy,SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,linked to ms above,our Development with Care Policy,"[5.425293056759983e-05, 5.005877392250113e-05, 4.345325578469783e-05, 0.001070372643880546, 0.01333186961710453, 0.008787598460912704, 0.003659446258097887, 0.45803165435791016, 0.0004662758728954941, 0.0049201007932424545, 0.001226019230671227]"
14,14,our pre -qualification process and standard terms of business,SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,linked to ms above,our pre -qualification process and standard terms of business,"[3.301149627077393e-05, 6.550722901010886e-05, 2.9968754461151548e-05, 0.0009186717798002064, 0.012947063893079758, 0.018474621698260307, 0.012861604802310467, 0.3019939363002777, 0.0007640590192750096, 0.03687796741724014, 0.0008912043995223939]"
15,15,our Corporate Responsibility policies and procedures including:- Human Rights External Grievance and Reporting Anti Bribery and Corruption Public Interest Disclosure (whistleblowing) Personal Conduct Equal Opportunities Environmental and Sustainability Social Media Community,SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,linked to ms above,our Corporate Responsibility policies and procedures including:- Human Rights External Grievance and Reporting Anti Bribery and Corruption Public Interest Disclosure (whistleblowing) Personal Conduct Equal Opportunities Environmental and Sustainability Social Media Community,"[0.0001584992278367281, 0.00034900347236543894, 0.0005081741837784648, 0.0009414810920134187, 0.0013709062477573752, 0.0014268652303144336, 0.008306421339511871, 0.746242344379425, 0.002160704229027033, 0.07443133741617203, 0.013411996886134148]"
16,16,DJM/JB 2 Modern Slavery Act 2015 Year End 2022 DEVELOPMENT WITH CARE Development with Care is a continuing statement of our intent to meet the expectations of those affected by our work,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,DJM/JB 2 Modern Slavery Act 2015 Year End 2022 DEVELOPMENT WITH CARE Development with Care is a continuing statement of our intent to meet the expectations of those affected by our work,"[0.0005152738303877413, 0.003145878901705146, 0.0271067563444376, 0.002633919008076191, 0.002569877775385976, 0.001432266435585916, 0.0002341424988117069, 0.0011949138715863228, 8.773853915045038e-05, 0.0005568348569795489, 0.0004176628135610372]"
17,17,The key strands of Development with Care are:- COMMUNITY how we support the wider community both for areas hosting our projects and nationally,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,The key strands of Development with Care are:- COMMUNITY how we support the wider community both for areas hosting our projects and nationally,"[1.0231977967123385e-06, 6.26268092673854e-06, 1.2397276805131696e-05, 0.0003296325448900461, 0.3870626986026764, 0.001259909593500197, 0.00022446623188443482, 0.011474506929516792, 0.00037109170807525516, 0.0002064393920591101, 7.4046743065991905e-06]"
18,18,ENVIRONMENT - how we seek to leave positive environmental legacies from our projects,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,ENVIRONMENT - how we seek to leave positive environmental legacies from our projects,"[3.910869509127224e-06, 6.156621566333342e-06, 3.6028936847287696e-06, 2.0739351384690963e-05, 0.070403553545475, 0.005948243662714958, 0.0007502217777073383, 0.05578320473432541, 6.721795216435567e-05, 0.0013667282182723284, 6.5260633164143655e-06]"
19,19,OUR PEOPLE how we manage the issues that affect the people who work for us,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,OUR PEOPLE how we manage the issues that affect the people who work for us,"[1.9757986592594534e-05, 8.000846719369292e-06, 3.004034806508571e-05, 0.0012310651363804936, 0.09560912847518921, 0.0004689416673500091, 0.0012083592591807246, 0.02557486668229103, 0.00016736173711251467, 0.0008012753678485751, 0.00014883748372085392]"
20,20,OUR BUSINESS PARTNERS how we work fairly with our suppliers and how we promote local businesses,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,OUR BUSINESS PARTNERS how we work fairly with our suppliers and how we promote local businesses,"[3.7596233596559614e-05, 0.00026784901274368167, 7.972947059897706e-05, 0.000301201333058998, 0.01054435782134533, 0.0869980901479721, 0.0075577376410365105, 0.25496143102645874, 0.0009103826596401632, 0.011697011068463326, 0.001058221678249538]"
21,21,"Our vision is for our business, people, communities and the environment to move forward together OUR PROCESSES Our procurement activities take place in England and Scotland and take two forms, namely the requirement for the supply of goods and the supply of professional services and contractors",SID_401,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",c2sp,5.0,,"Our vision is for our business, people, communities and the environment to move forward together OUR PROCESSES Our procurement activities take place in England and Scotland and take two forms, namely the requirement for the supply of goods and the supply of professional services and contractors","[0.00013179868983570486, 6.403606676030904e-05, 0.0001653095823712647, 0.0017822429072111845, 0.20381174981594086, 0.7886552214622498, 0.019022604450583458, 0.006144087295979261, 0.0004543386457953602, 0.00035432318691164255, 0.00011181939771631733]"
22,22,"Our professional advisors and contractors are UK and EU based, whilst our suppliers of goods are predominantly UK, EU and USA based global organisations",SID_401,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",c2sp,5.0,,"Our professional advisors and contractors are UK and EU based, whilst our suppliers of goods are predominantly UK, EU and USA based global organisations","[0.00010996262426488101, 0.00018247148545924574, 6.97743525961414e-05, 0.0019335817778483033, 0.021905727684497833, 0.9794088006019592, 0.017833538353443146, 0.0022585380356758833, 0.00022563095262739807, 0.0012684410903602839, 7.910755812190473e-05]"
23,23,Our key suppliers are required to complete a rigorous pre -qualification exercise prior to appointment which requires them to provide us with their Ethical Procurement Policy and commitment to operate in accordance with our 'Development with Care' approach in terms of engagement with local cornmunities,SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,,Our key suppliers are required to complete a rigorous pre -qualification exercise prior to appointment which requires them to provide us with their Ethical Procurement Policy and commitment to operate in accordance with our 'Development with Care' approach in terms of engagement with local cornmunities,"[3.68702421837952e-05, 8.68009083205834e-05, 3.8181929994607344e-05, 0.0007868100074119866, 0.006021449808031321, 0.13121800124645233, 0.022705992683768272, 0.345173716545105, 0.0011211311211809516, 0.00721055269241333, 7.601529796374962e-05]"
