sentence_id,sentence_text,statement_id,targets,predictions,label,Confidence,Comment , , , , , , , , , , , , , , , , 
82,"2023 Supply Chain Act Annual Report This Annual Report (the Report) is produced in accordance with section 11(1) of the Fighting Against Forced Labour and Child Labour in Supply Chains Act (the Supply Chains Act or the Act) and is filed for the following entities, each a member of the Burnbrae Farms corporate group (Burnbrae Farms)",SID_201,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s,5,,,,,,,,,,,,,,,,,
83,Burnbrae Farms Limited,SID_201,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s,5,,,,,,,,,,,,,,,,,
84,Ferme St-Zotique Ltée; and,SID_201,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s,5,,,,,,,,,,,,,,,,,
85,"Burnbrae FarmCo 19 Inc, (each a Reporting Entity and collectively, the Reporting Entities, we, us or our) covering the twelve-month financial year ended August 31st, 2023 (the Reporting Period)",SID_201,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s,5,,,,,,,,,,,,,,,,,
86,"Burnbrae Farms has embraced sustainability practices over the years to ensure the long-term success of our business, our employees, our suppliers and other various stakeholders",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
87,"At its core, sustainability is about both the environment and human rights",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
88,Forced labour and child labour are contrary to human rights and against our vision and values,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
89,At Burnbrae Farms one of our values centres around Leading Responsibly which entails abiding by our Code of Conduct as well as our other policies,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
90,"It is also contrary to one of our five key areas of sustainability focus, namely the health and wellbeing of our employees and by extension the health and wellbeing of people employed by our suppliers",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
91,This report constitutes our first report under the Act and provides a summary of our objectives and progress in regards to the elimination of forced labour and child labour in our supply chains,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
