,sentence,prediction,targets,confidence
0,"THE BANKS GROUP STRUCTURE AND ITS BUSINESS The Banks Group is a family owned County Durham based business, with offices in Scotland and Northumberland, and employs around 230 people",0,0,0.5619295619118763
1,"THE BANKS GROUP STRUCTURE AND ITS BUSINESS The Banks Group is a family owned County Durham based business, with offices in Scotland and Northumberland, and employs around 230 people",0,0,0.5619295619118763
2,"The organisation operates across the North of England and Scotland, and is involved in",0,0,0.635603823666163
3,Mineral Extraction,0,0,0.624305302068996
4,Infrastructure Services,0,0,0.6532280384808872
5,Property development,0,0,0.6845964388324252
6,Generation of renewable energy,0,0,0.6684776269196735
7,Plant Maintenance Services,0,0,0.6368040415301142
8,"Road Haulage This statement applies to each of our group holding companies and all of their subsidiary companies, regardless of their turnover",0,0,0.7251925074240947
9,"OUR POLICIES The following policies underpin our zero tolerance approach to slavery and human trafficking, both from our own aim to comply with the Act and also our expectation that our suppliers and their supply chains will take all reasonable and practicable steps to comply with the Act:-",1,0,0.5631267876381081
10,this policy and statement,0,0,0.686119184501762
11,our Development with Care Policy,0,0,0.6211270389925238
12,our pre -qualification process and standard terms of business,0,0,0.5990871102028158
13,our Corporate Responsibility policies and procedures including:- Human Rights External Grievance and Reporting Anti Bribery and Corruption Public Interest Disclosure (whistleblowing) Personal Conduct Equal Opportunities Environmental and Sustainability Social Media Community,0,0,0.6199373239314593
14,"Our vision is for our business, people, communities and the environment to move forward together OUR PROCESSES Our procurement activities take place in England and Scotland and take two forms, namely the requirement for the supply of goods and the supply of professional services and contractors",0,0,0.6439443011405204
15,"Our professional advisors and contractors are UK and EU based, whilst our suppliers of goods are predominantly UK, EU and USA based global organisations",0,0,0.6624902484384348
16,Our key suppliers are required to complete a rigorous pre -qualification exercise prior to appointment which requires them to provide us with their Ethical Procurement Policy and commitment to operate in accordance with our 'Development with Care' approach in terms of engagement with local cornmunities,0,0,0.5841670119367116
17,"Our standard terms and conditions used for the whole supply chain have been adapted to ensure our professional advisors, contractors and suppliers comply with the provisions of the Modern Slavery Act 2015 and the Bribery Act 2010 and GDPR",0,0,0.551553935063421
18,"All staff working for and with us (including employees, consultants, contractors and agency workers) are encouraged to report any concerns about modern slavery in any part of our business in accordance with our Personal Conduct and Public Interest Disclosure policies",0,0,0.5781854502881348
19,"DJM/JB 4 ModernSlaveryAct 2015 Year End 2022 This statement applies to the following entities, all of which are UK based Banks Group Holdings Limited The Banks Group Limited H.J Banks & Company Limited Banks Brothers Transport Limited Banks Developments Limited Banks Property Limited Banks Property Development Limited Banks Property Development (Bathgate) Limited H.J Banks (Construction) Limited Banks Homes Limited Mount Oswald Estate Management Limited Bowesfield Management Company Limited Sheraton Park Management Limited Banks Renewables (HMA Holdings) Limited Banks Renewables (Hazlehead Wind Farm) Limited Banks Renewables (Armistead Wind Farm) Limited Banks Renewables (Marr Wind Farm) Limited Banks Renewables (PH Holdings) Limited Banks Renewables (Penny Hill Wind Farm) Limited Banks Renewables (Heysham South Wind Farm) Limited Banks Renewables (HL Holdings) Limited Banks Renewables (Hook Moor Wind Farm) Limited Banks Renewables (Lambs Hill Wind Farm) Limited Banks Renewables Holdings Limited KMH Holdings Limited Banks Renewables Limited Banks Renewables (Kype Muir Wind Farm) Limited Banks Renewables (Middle Muir Wind Farm) Limited Banks Renewables (Moor House Wind Farm) Limited Banks Renewables (Harting Rig Wind Farm) Limited Banks Renewables (Lethans Wind Farm) Limited Banks Renewables (Lethans East Wind Farm) Limited Banks Renewables (Mill Rig Wind Farm) Limited Banks Renewables (Bodinglee Wind Farm) Limited Banks Renewables (Bowburn Solar Park) Limited Banks Renewables (Barnsdale Solar Park) Limited Thorpe Marsh Energy Park Limited Banks Renewables (Moor House Solar Park) Limited Banks Renewables (Common Farm Solar Park) Limited Banks Energy Parks Limited Pond Flexible Energy Park Limited Banks Renewables (Cumby's Farm Solar Park) Limited Mill Rig Wind Farm LLP Thorpe Marsh Green Energy Hub Limited IBANG",0,0,0.5903929808648748
20,"Raisio Plc is an international company specialised in healthy, responsibly produced food and ingredients",0,0,0.6231459121256966
21,"Our well-known and beloved brands, such as Benecol, Hrkis and Elovena, are part of everyday life in millions of households",0,0,0.6579489867598736
22,We have around 350 healthy food colleagues in seven countries and export to more than 40 markets around the world,0,0,0.6407493728444333
23,We have around 350 healthy food colleagues in seven countries and export to more than 40 markets around the world,0,0,0.6407493728444333
24,"We also sell oat and fava bean products to industrial and bakery customers, particularly in Finland and Europe",0,0,0.6294761322796234
25,All five of our production facilities are located in Finland,0,0,0.6580793258412715
26,"Our key offices are in Finland, the UK, Ireland, Poland and Ukraine",0,0,0.6317110365060669
27,"The Groups head office is in Raisio, Southwest Finland",0,0,0.6167568780762013
28,"At the end of 2022, the Raisio Groups continuing operations employed some 350 people",0,0,0.6240379456023678
29,"Raisios shares are listed on Nasdaq Helsinki Ltd This report covers all subsidiaries of Raisio plc, including UK-based Benecol Ltd Policies and current actions related to slavery and human trafficking Raisio Group complies with local and international laws and regulations, generally accepted practices and Raisios own guidelines",0,0,0.5887089073135557
30,Raisio is a participant in the UN Global Compact initiative,0,0,0.597037827138492
31,It is approved by Raisios Board of Directors,0,0,0.6938890939384311
32,"In 2020, a global Human Rights Policy was defined for the Raisio Group and it was approved by Raisios Board of Directors",0,0,0.6137599387887285
33,"Risk assessments Raisio is a listed company headquartered in Raisio, Finland",0,0,0.5586082983431501
34,"Raisios own production facilities and the majority of employees are located in Finland, a country with high standards and strict regulation for labour rights",0,0,0.6289197238428722
35,Raisios biggest human rights risks are typical for the food industry,1,0,0.5604975868065126
36,The major risks are related to long procurement chains and procurement of labour-intensive raw materials,0,0,0.5384858788558508
37,"The risks are managed by the means mentioned in Raisio's Global Human Rights Policy, for example, by taking the risks into https://sign.visma.net/fi/document-check/7b409155-05d5-4473-b665-d7b949a92b4a Electronically signed / Shkisesti allekirjoitettu / Elektroniskt signerats / Elektronisk signert / Elektronisk underskrevet www.vismasign.com",0,0,0.529318773294473
38,account already when selecting a supplier and by monitoring more closely the acquisitions from potential risk countries,0,0,0.60551598031413
39,"Currently, most of Raisios raw materials and services are purchased from low-risk countries, such as Finland and Central Europe",0,0,0.6118586274337987
40,"Part of Raisios products are produced by our well-selected subcontractors, all located in Europe",0,0,0.642497977540046
41,"The company purchases a small part of its raw materials from the higher-risk countries and in these cases, we pay special attention to the suppliers procedures",0,0,0.5632429534043676
42,We review our tools and risk criteria regularly to make sure they are up-to date,0,0,0.6089457994045386
43,"Main risks are related to the purchase of soya, palm oil and cocoa, which together account for less than 1 per cent of all raw materials used by Raisio",0,0,0.5402736329214475
44,"Main risks are related to the purchase of soya, palm oil and cocoa, which together account for less than 1 per cent of all raw materials used by Raisio",0,0,0.5402736329214475
45,"In 2022 we added berries and fruit, as well as their purees, jams and concentrates, to the list of risk raw materials in 2022, although the proportion of berries and fruit in our total raw materials is small being approximately 0.6%",0,0,0.5624702851075257
46,"In 2022 we added berries and fruit, as well as their purees, jams and concentrates, to the list of risk raw materials in 2022, although the proportion of berries and fruit in our total raw materials is small being approximately 0.6%",0,0,0.5624702851075257
47,"Their classification as risk raw materials is not based on country classification or an individual raw material, but on the fact that their collection and cultivation is highly labour-intensive and thus introduces the possibility of human rights risks even in countries that are not generally classified as risk countries",0,0,0.5374414262568944
48,"To minimise the risks, we review the processes of our partners who supply us with berries, fruit and their purees, jams and concentrates to ensure the responsibility of their raw materials and related sourcing",0,0,0.5506375216806862
49,"To minimise the risks, we review the processes of our partners who supply us with berries, fruit and their purees, jams and concentrates to ensure the responsibility of their raw materials and related sourcing",0,0,0.5506375216806862
50,"Raisio audits its suppliers in regular, planned and agreed intervals",0,0,0.5561759951127166
51,"The audit process follows Raisios criteria, which is based on suppliers or raw-materials risk profile",0,0,0.5202813088109023
52,All new sub-contractors are audited,0,0,0.6058602605116122
53,In 2021 we introduced an electronic reporting channel to report any suspicions of abuse,0,0,0.51564474236442
54,"The channel is available not only to employees, but also to Raisio Groups customers, partners and other stakeholders, as required by the European Unions Whistleblowing Directive",0,0,0.5898892632318622
55,"The channel can be used to report suspicions of activities that do not comply with Raisios values, ethical guidelines or applicable laws",0,0,0.6063494142403948
56,"anonymity of the reports, the reporting channel is managed by an external partner, WhistleB, Whistleblowing Centre",1,0,0.5108679497738323
57,In 2022 the channel was tested by an external partner during the Rainforest Alliance supply chain certification audit and it is working as planned,0,0,0.6720215828506517
58,"In the summer of 2022, we organised a training course on human rights for all of our employees",0,0,0.5828523801129967
59,About the Group Howden Group Holdings is a leading international insurance group with employee ownership at its heart,0,0,0.6008923557146175
60,"Founded in 1994, its trading operations comprise retail and specialty insurance broking, reinsurance broking, managing general agencies (MGAs), provision of employee benefit solutions and digital, data and analytic services for the insurance industry",0,0,0.6315365788354564
61,"We are an international business, headquartered in London, with offices in 55 countries, including over 200 local offices in the UK & Ireland",0,0,0.667070303860785
62,"We are an international business, headquartered in London, with offices in 55 countries, including over 200 local offices in the UK & Ireland",0,0,0.667070303860785
63,"We operate across Europe, Africa, Asia, the Middle East, Latin America, the USA, Australia and New Zealand, employing 16,000 people",0,0,0.6637313336451378
64,"We operate across Europe, Africa, Asia, the Middle East, Latin America, the USA, Australia and New Zealand, employing 16,000 people",0,0,0.6637313336451378
65,"Due to the nature of our business and the size of many of our offices, we operate a decentralised procurement model which utilises local buying and operational team members",0,0,0.6155823932284157
66,"Contractors may be employed by the Group from time to time, but these are largely professional workers for specific projects",0,0,0.621822896075372
67,"As a professional service provider, we believe that insurance is not deemed to be a key risk sector as our employees work in roles that are primarily office based and/or generally require specialist qualifications",1,0,0.5688492966100731
68,"Therefore, we have assessed our risk of practices which might be considered to comprise modern slavery to be low",1,0,0.5273398151067792
69,"Our supply chain Our supply chain primarily consists of professional, IT, insurance, and consulting services, along with property and purchased equipment, and our use of hospitality and travel providers",0,0,0.6399598832858558
70,Due diligence We continue to work on programmes and initiatives across our business to embed the evaluation and communication of our modern slavery and human rights requirements into supplier selection and management activities,0,0,0.58679905871657
71,"In 2023, a vendor risk management tool was introduced to assess vendors including ESG risk",0,0,0.5698997469398077
72,We have been bringing vendors onto the tool and we will continue to onboard our suppliers onto it,0,0,0.6594818202840027
73,"Where appropriate, vendors will then be subject to third party monitoring and will be required to complete due diligence questionnaires",0,0,0.6002019216698351
74,Training Training is available to staff members to understand the risks of modern slavery and human trafficking in our supply chains and business,0,0,0.5930306819999186
75,"This training covers an explanation of what constitutes modern slavery and high-risk areas, warning signs to be aware of and what action or steps to take in response",0,0,0.5734471322171638
76,The Group continues to roll out the modern slavery module of this through compliance training for each business and their employees,1,0,0.5609424349267904
77,Policies The Group has a number of policies to mitigate the risk of modern slavery and set out steps to be taken to prevent slavery and human trafficking in its operations,0,0,0.5372523450831956
78,"Whistleblowing The Group encourages all its employees, external third-parties or counterparties (eg customers and other business partners) to report any concerns related to the direct activities, or the supply chains of the organisation",0,0,0.5339232186447979
79,This includes any circumstances that may give rise to an enhanced risk of slavery or human trafficking,0,0,0.631516778726688
80,The Group has its incident reporting details link displayed prominently on its website,0,0,0.5647213593983138
81,The Groups whistleblowing procedure is designed to make it easy for any individual to make disclosures without fear of retaliation,0,0,0.5381948313162153
82,Employees who have concerns can use our confidential helpline through SafeCall,0,0,0.5419267306785852
83,This independent reporting line is widely advertised across all offices and monitored by our Group Chief Risk Officer and Group General Counsel,0,0,0.5759646915438321
84,"Alternatively, disclosures can be reported by employees notifying their line manager or a senior member in Human Resources, who will conduct or arrange for a senior individual to conduct an anonymous investigation",0,0,0.5779761407236607
85,"Alternatively, disclosures can be reported by employees notifying their line manager or a senior member in Human Resources, who will conduct or arrange for a senior individual to conduct an anonymous investigation",0,0,0.5779761407236607
86,"Otherwise, the individual may deem it appropriate to contact a legislative body, in which case examples of the relevant authorities are listed in the Group Whistleblowing Policy",0,0,0.5972100968204984
87,"Across all disclosure routes, no calls or direct disclosures were made in 2023 in relation to modern slavery and trafficking",1,0,0.6275355910384295
88,"In 2024, we will continue identifying opportunities to utilise the Ethical Trading Initiative base code practice and guidance, along with wider governance and environmental considerations",0,0,0.6247242355020691
