sentence_id,statement_id,sentence,prediction
92,SID_201,"Our structure, operations and supply chain Burnbrae Farms is a sixth-generation, Canadian familyowned and operated company",approval
93,SID_201,"We offer world-class products such as shell eggs, hard-boiled and liquid eggs, and fully cooked omelets and patties",signature
94,SID_201,"Burnbrae Farms is committed to providing Canadians from coast to coast with safe, affordable, accessible, nutritious eggs and egg products",signature
95,SID_201,"We market to retail, industrial, and food service clients across Canada and select US and international markets",signature
120,SID_201,(b) Employee Code of Conduct The Burnbrae Farms Employee Code of Conduct (the Code) sets high standards for conducting business in a legal and ethical manner and serves as the foundation of our corporate policies and procedures,c2 (operations)
121,SID_201,"The Code, which all employees, officers and directors are required to abide by and sign, was updated in 2022",c2 (operations)
122,SID_201,"The Code states that Burnbrae Farms and all people covered by the Code are required to abide by all laws in the jurisdictions where they operate, which includes the Act",c2 (operations)
123,SID_201,The Code applies the,c2 (operations)
124,SID_201,"same requirement independent of whether we conduct business with international customers, suppliers, contractors or government agencies",c2 (operations)
125,SID_201,(c) Confidential Reporting System Burnbrae Farms has established a Confidential Reporting System so that any signatory of the Code can question an action taken by a colleague and report a situation where the signatory suspects an ethics violation or a breach of the Code,c2 (operations)
126,SID_201,The Confidential Reporting System takes the form of a phone hotline which signatories can reach at anytime,c2 (operations)
127,SID_201,"If a signatory reports potential wrongdoing, every effort will be made to protect their confidentiality, as applicable laws permit, and Burnbrae Farms will ensure that no retaliation occurs",c2 (operations)
137,SID_201,We recognize the forced labour risks associated with migrant workers participating in the TFWP,c2 (structure)
139,SID_201,"When recruitment fees are imposed on migrant workers by recruiters and employment agents, migrant workers can become indebted to them",c2 (structure)
148,SID_201,"Our ongoing review of our risk assessment procedures, conducted annually, aims to detect any potential shortcomings in our evaluations",c3 (risk description)
4880,SID_260,"We also developed a contractual clause in our purchase orders which provides that by accepting the purchase order, the supplier agrees to comply with our Code of Conduct, violations of which may be grounds for the nullification of the purchase order",c2 (operations)
