sentence_id,statement_id,sentence,prediction,targets
3,SID_401,[0 0 0 1 1 0 0 0 0 0 0],0,0
3,SID_401,[0 0 0 1 1 0 0 0 0 0 0],0,0
4,SID_401,[0 0 0 0 1 0 0 0 0 0 0],0,0
7,SID_401,[0 0 0 0 1 0 0 0 0 0 0],0,0
8,SID_401,[0 0 0 0 1 0 0 0 0 0 0],0,0
9,SID_401,[0 0 0 0 0 1 0 0 0 0 0],1,0
11,SID_401,[0 0 0 0 0 0 0 1 0 0 0],1,0
15,SID_401,[0 0 0 0 0 0 0 1 0 0 0],0,0
21,SID_401,[0 0 0 0 0 1 0 0 0 0 0],0,0
22,SID_401,[0 0 0 0 0 1 0 0 0 0 0],0,0
24,SID_401,[0 0 0 0 0 0 0 1 0 0 0],0,0
28,SID_401,[0 0 0 0 0 0 0 1 0 0 0],0,0
32,SID_401,[0 0 1 1 0 0 0 0 0 0 0],0,0
34,SID_406,[0 0 0 1 1 0 0 0 0 0 0],0,0
34,SID_406,[0 0 0 1 1 0 0 0 0 0 0],0,0
35,SID_406,[0 0 0 1 1 0 0 0 0 0 0],0,0
35,SID_406,[0 0 0 1 1 0 0 0 0 0 0],0,0
36,SID_406,[0 0 0 0 1 0 0 0 0 0 0],0,0
37,SID_406,[0 0 0 0 1 0 0 0 0 0 0],0,0
38,SID_406,[0 0 0 0 1 0 0 0 0 0 0],0,0
39,SID_406,[0 0 0 1 1 0 0 0 0 0 0],0,0
39,SID_406,[0 0 0 1 1 0 0 0 0 0 0],0,0
40,SID_406,[0 0 0 1 0 0 0 0 0 0 0],0,0
41,SID_406,[0 0 0 1 0 0 0 0 0 0 0],1,0
43,SID_406,[0 0 0 1 0 0 0 0 0 0 0],0,0
44,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
45,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
46,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
47,SID_406,[0 0 0 0 0 0 0 1 0 0 0],1,0
54,SID_406,[0 0 0 1 0 0 0 0 0 0 0],0,0
57,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
58,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
62,SID_406,[0 0 0 0 0 1 1 0 0 0 0],0,0
62,SID_406,[0 0 0 0 0 1 1 0 0 0 0],0,0
63,SID_406,[0 0 0 0 0 1 0 0 0 0 0],0,0
68,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
69,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
71,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
72,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
73,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
76,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
80,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
81,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
82,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
84,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
87,SID_438,[0 0 0 0 0 0 0 1 0 0 0],0,0
90,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
92,SID_406,[0 0 0 0 0 0 1 0 0 0 0],0,0
103,SID_408,[0 0 0 1 1 0 0 0 0 0 0],0,0
103,SID_408,[0 0 0 1 1 0 0 0 0 0 0],0,0
104,SID_408,[0 0 0 0 1 0 0 0 0 0 0],0,0
105,SID_408,[0 0 0 1 1 0 0 0 0 0 0],0,0
105,SID_408,[0 0 0 1 1 0 0 0 0 0 0],0,0
106,SID_408,[0 0 0 1 1 0 0 0 0 0 0],0,0
106,SID_408,[0 0 0 1 1 0 0 0 0 0 0],0,0
116,SID_408,[0 0 0 0 0 0 1 0 0 0 0],0,0
117,SID_408,[0 0 0 0 0 0 1 0 0 0 0],0,0
119,SID_408,[0 0 0 0 0 1 0 0 0 0 0],0,0
120,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,0
121,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,0
123,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,0
124,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,0
125,SID_408,[0 0 0 0 0 0 0 1 0 0 0],0,0
126,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,0
127,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,0
128,SID_408,[0 0 0 0 0 0 0 1 0 0 0],0,0
130,SID_408,[0 0 0 0 0 0 0 1 0 0 0],0,0
131,SID_408,[0 0 0 0 0 0 0 1 0 0 0],0,0
133,SID_408,[0 0 0 0 0 0 0 1 0 0 0],0,0
136,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,1
143,SID_450,[0 0 0 0 0 0 0 1 0 0 0],0,0
144,SID_408,[0 0 0 0 0 0 0 1 0 0 0],1,0
148,SID_411,[0 0 0 1 1 0 0 0 0 0 0],0,0
148,SID_411,[0 0 0 1 1 0 0 0 0 0 0],0,0
149,SID_411,[0 0 0 0 1 0 0 0 0 0 0],1,0
150,SID_411,[0 0 0 0 1 0 0 0 0 0 0],0,0
151,SID_411,[0 0 0 0 0 1 0 0 0 0 0],0,0
152,SID_411,[0 0 0 0 0 1 0 0 0 0 0],0,0
154,SID_411,[0 0 0 0 0 1 0 0 0 0 0],0,0
155,SID_411,[0 0 0 0 0 0 1 0 0 0 0],0,0
