sentence_id,statement_id,sentence,prediction,targets,confidence
3,SID_401,"THE BANKS GROUP STRUCTURE AND ITS BUSINESS The Banks Group is a family owned County Durham based business, with offices in Scotland and Northumberland, and employs around 230 people",0,0,0.5619295619118763
3,SID_401,"THE BANKS GROUP STRUCTURE AND ITS BUSINESS The Banks Group is a family owned County Durham based business, with offices in Scotland and Northumberland, and employs around 230 people",0,0,0.5619295619118763
4,SID_401,"The organisation operates across the North of England and Scotland, and is involved in",0,0,0.635603823666163
7,SID_401,Property development,0,0,0.6845964388324252
8,SID_401,Generation of renewable energy,0,0,0.6684776269196735
9,SID_401,Plant Maintenance Services,0,0,0.6368040415301142
11,SID_401,"OUR POLICIES The following policies underpin our zero tolerance approach to slavery and human trafficking, both from our own aim to comply with the Act and also our expectation that our suppliers and their supply chains will take all reasonable and practicable steps to comply with the Act:-",0,0,0.43687321236189186
15,SID_401,our Corporate Responsibility policies and procedures including:- Human Rights External Grievance and Reporting Anti Bribery and Corruption Public Interest Disclosure (whistleblowing) Personal Conduct Equal Opportunities Environmental and Sustainability Social Media Community,0,0,0.6199373239314593
21,SID_401,"Our vision is for our business, people, communities and the environment to move forward together OUR PROCESSES Our procurement activities take place in England and Scotland and take two forms, namely the requirement for the supply of goods and the supply of professional services and contractors",0,0,0.6439443011405204
22,SID_401,"Our professional advisors and contractors are UK and EU based, whilst our suppliers of goods are predominantly UK, EU and USA based global organisations",0,0,0.6624902484384348
24,SID_401,"Our standard terms and conditions used for the whole supply chain have been adapted to ensure our professional advisors, contractors and suppliers comply with the provisions of the Modern Slavery Act 2015 and the Bribery Act 2010 and GDPR",0,0,0.551553935063421
28,SID_401,"All staff working for and with us (including employees, consultants, contractors and agency workers) are encouraged to report any concerns about modern slavery in any part of our business in accordance with our Personal Conduct and Public Interest Disclosure policies",0,0,0.5781854502881348
32,SID_401,"DJM/JB 4 ModernSlaveryAct 2015 Year End 2022 This statement applies to the following entities, all of which are UK based Banks Group Holdings Limited The Banks Group Limited H.J Banks & Company Limited Banks Brothers Transport Limited Banks Developments Limited Banks Property Limited Banks Property Development Limited Banks Property Development (Bathgate) Limited H.J Banks (Construction) Limited Banks Homes Limited Mount Oswald Estate Management Limited Bowesfield Management Company Limited Sheraton Park Management Limited Banks Renewables (HMA Holdings) Limited Banks Renewables (Hazlehead Wind Farm) Limited Banks Renewables (Armistead Wind Farm) Limited Banks Renewables (Marr Wind Farm) Limited Banks Renewables (PH Holdings) Limited Banks Renewables (Penny Hill Wind Farm) Limited Banks Renewables (Heysham South Wind Farm) Limited Banks Renewables (HL Holdings) Limited Banks Renewables (Hook Moor Wind Farm) Limited Banks Renewables (Lambs Hill Wind Farm) Limited Banks Renewables Holdings Limited KMH Holdings Limited Banks Renewables Limited Banks Renewables (Kype Muir Wind Farm) Limited Banks Renewables (Middle Muir Wind Farm) Limited Banks Renewables (Moor House Wind Farm) Limited Banks Renewables (Harting Rig Wind Farm) Limited Banks Renewables (Lethans Wind Farm) Limited Banks Renewables (Lethans East Wind Farm) Limited Banks Renewables (Mill Rig Wind Farm) Limited Banks Renewables (Bodinglee Wind Farm) Limited Banks Renewables (Bowburn Solar Park) Limited Banks Renewables (Barnsdale Solar Park) Limited Thorpe Marsh Energy Park Limited Banks Renewables (Moor House Solar Park) Limited Banks Renewables (Common Farm Solar Park) Limited Banks Energy Parks Limited Pond Flexible Energy Park Limited Banks Renewables (Cumby's Farm Solar Park) Limited Mill Rig Wind Farm LLP Thorpe Marsh Green Energy Hub Limited IBANG",0,0,0.5903929808648748
34,SID_406,"Raisio Plc is an international company specialised in healthy, responsibly produced food and ingredients",0,0,0.6231459121256966
34,SID_406,"Raisio Plc is an international company specialised in healthy, responsibly produced food and ingredients",0,0,0.6231459121256966
35,SID_406,"Our well-known and beloved brands, such as Benecol, Hrkis and Elovena, are part of everyday life in millions of households",0,0,0.6579489867598736
35,SID_406,"Our well-known and beloved brands, such as Benecol, Hrkis and Elovena, are part of everyday life in millions of households",0,0,0.6579489867598736
36,SID_406,We have around 350 healthy food colleagues in seven countries and export to more than 40 markets around the world,0,0,0.6407493728444333
37,SID_406,"We also sell oat and fava bean products to industrial and bakery customers, particularly in Finland and Europe",0,0,0.6294761322796234
38,SID_406,All five of our production facilities are located in Finland,0,0,0.6580793258412715
39,SID_406,"Our key offices are in Finland, the UK, Ireland, Poland and Ukraine",0,0,0.6317110365060669
39,SID_406,"Our key offices are in Finland, the UK, Ireland, Poland and Ukraine",0,0,0.6317110365060669
40,SID_406,"The Groups head office is in Raisio, Southwest Finland",0,0,0.6167568780762013
41,SID_406,"At the end of 2022, the Raisio Groups continuing operations employed some 350 people",0,0,0.6240379456023678
43,SID_406,"Raisios shares are listed on Nasdaq Helsinki Ltd This report covers all subsidiaries of Raisio plc, including UK-based Benecol Ltd Policies and current actions related to slavery and human trafficking Raisio Group complies with local and international laws and regulations, generally accepted practices and Raisios own guidelines",0,0,0.5887089073135557
44,SID_406,"The Raisio Group respects the UN declaration of human rights, the fundamental principles and rights at work as defined by the International Labour Organization (ILO)",0,0,0.6221435077993369
45,SID_406,"These rights cover freedom of association, the right to organise or not to organise, the right to collective bargaining, the prohibition of forced labour and child labour, and the employees' right to equal treatment and opportunities",0,0,0.640658558547343
